accuracy,loss,epochs,dataset_size,k_folds
0.52,0.48,35,0.9,10
0.5135135135135135,0.4864864864864865,35,0.9,10
0.5945945945945946,0.40540540540540543,35,0.9,10
0.7162162162162162,0.28378378378378377,35,0.9,10
0.7297297297297297,0.2702702702702703,35,0.9,10
0.6756756756756757,0.32432432432432434,35,0.9,10
0.7027027027027027,0.2972972972972973,35,0.9,10
0.6756756756756757,0.32432432432432434,35,0.9,10
0.6756756756756757,0.32432432432432434,35,0.9,10
0.7162162162162162,0.28378378378378377,35,0.9,10
0.36,0.64,20,0.9,10
0.33783783783783783,0.6621621621621622,20,0.9,10
0.3783783783783784,0.6216216216216216,20,0.9,10
0.36486486486486486,0.6351351351351351,20,0.9,10
0.3918918918918919,0.6081081081081081,20,0.9,10
0.4864864864864865,0.5135135135135135,20,0.9,10
0.4594594594594595,0.5405405405405406,20,0.9,10
0.3918918918918919,0.6081081081081081,20,0.9,10
0.40540540540540543,0.5945945945945946,20,0.9,10
0.40540540540540543,0.5945945945945946,20,0.9,10
1.0,0.0,100,0.82,5
1.0,0.0,100,0.82,5
0.9932432432432432,0.006756756756756757,100,0.82,5
1.0,0.0,100,0.82,5
1.0,0.0,100,0.82,5
1.0,0.0,70,0.82,5
0.9864864864864865,0.013513513513513514,70,0.82,5
1.0,0.0,70,0.82,5
0.9932432432432432,0.006756756756756757,70,0.82,5
0.972972972972973,0.02702702702702703,70,0.82,5
0.7449664429530202,0.2550335570469799,50,0.82,5
0.9391891891891891,0.060810810810810814,50,0.82,5
0.9256756756756757,0.07432432432432433,50,0.82,5
0.9256756756756757,0.07432432432432433,50,0.82,5
0.8851351351351351,0.11486486486486487,50,0.82,5
0.4966442953020134,0.5033557046979866,35,0.82,5
0.6756756756756757,0.32432432432432434,35,0.82,5
0.6756756756756757,0.32432432432432434,35,0.82,5
0.7027027027027027,0.2972972972972973,35,0.82,5
0.7432432432432432,0.25675675675675674,35,0.82,5
0.3422818791946309,0.6577181208053692,20,0.82,5
0.3108108108108108,0.6891891891891891,20,0.82,5
0.3581081081081081,0.6418918918918919,20,0.82,5
0.4189189189189189,0.581081081081081,20,0.82,5
0.3310810810810811,0.668918918918919,20,0.82,5
1.0,0.0,100,0.7,3
1.0,0.0,100,0.7,3
1.0,0.0,100,0.7,3
0.9919028340080972,0.008097165991902834,70,0.7,3
0.9757085020242915,0.024291497975708502,70,0.7,3
0.9757085020242915,0.024291497975708502,70,0.7,3
0.8016194331983806,0.19838056680161945,50,0.7,3
0.951417004048583,0.048582995951417005,50,0.7,3
0.7975708502024291,0.20242914979757085,50,0.7,3
0.43724696356275305,0.562753036437247,35,0.7,3
0.6153846153846154,0.38461538461538464,35,0.7,3
0.6963562753036437,0.30364372469635625,35,0.7,3
0.340080971659919,0.659919028340081,20,0.7,3
